merchant_name,category
MEENAKSHI CLOTHING,Ecommerce & Shopping
Sankhya Technologies India Operations Pvt Limited,Organization
Access Retail Private limited,Travel
HOTEL BASERAA,Travel
HALDIRAM MARKETING PVT,Food & Grocery
BPCL MITALI SERVICE S,Travel
DMI Samsung,Finance
HPCL RAMYA FILLING ST,Travel
MS SURENDRA PETROLEUM,Travel
PADMA PRIYA SERVICE,Travel
MY KERALA,Travel
Deluxe Electric Works,Ecommerce & Shopping
Papeljam,Ecommerce & Shopping
Xovak Pharma,Health & Fitness
IGL DWARKA SEC IX,Travel
Bright Orange,Organization
FSN BRANDS MARKETING P,Business Activity
Elior West Catering LLP,Food & Grocery
Dazzle robotics private ltd,Organization
The RobinAge Store,Ecommerce & Shopping
DARABOINA FILLING POIN,Travel
SAIKRIPA AUTO,Travel
THE INSTITUTION AT DHARMASTHALA,Education
Aayath collections,Ecommerce & Shopping
SRI MOOKAMBIKA ENTERPRISEBANGALORE,Travel
M G ENTERPRISES,Ecommerce & Shopping
Param Fashion And LifeStyle,Ecommerce & Shopping
PIT STOP 62,Housing
ASTRO SWAMI G SOLUTIONS,Entertainment
my11circle,Entertainment
spoonfulofdesigns,Ecommerce & Shopping
WHIS After Hour,Education
WWW MYNTRA COM,Ecommerce & Shopping
MOVIE TIME,Entertainment
BLUE HORIZON HOTELS PV,Travel
STANDARD SERVICE STATION HYDERABAD,Housing
RM electronic,Ecommerce & Shopping
ENERGY FILLING,Travel
HIGHWAY PETROLEUM CENTRE PUNE,Travel
Citrus P2P,Finance
SUBBAYYA GARI HOTEL,Food & Grocery
SAGAR RATNA RESTAURANT,Food & Grocery
JOEYS PIZZA,Food & Grocery
LOHITA FUEL PARK HPCL,Travel
AMARAVATI PETROLEUM,Travel
Shalini Communication,Ecommerce & Shopping
MOVIETIME CINEMAS,Entertainment
TIRUMALA TIRUPATHI DEV,Other
SRN SERVICE STATION,Travel
Reiki With Friends,Entertainment
The Peninsular Export company,Food & Grocery
Yostor OPC Private Limited,Ecommerce & Shopping
ICM Limited,Finance
Wearogs Apparel,Ecommerce & Shopping
Beautiful Minds,Social Work
SAI ABHAY PETROLEUM LLP,Other
SAPTAGIRI RESTAURANT PV,Food & Grocery
Surya Marketing,Ecommerce & Shopping
SURA ENTERPRISESES,Business Activity
Vasanth Paul Enterprises,Ecommerce & Shopping
AUTOCARE,Housing
Liberty Shoes Limited,Ecommerce & Shopping
Mosaram Consumer Products Pvt. Ltd.,Ecommerce & Shopping
V MART,Ecommerce & Shopping
VANAMRA SITARA FOODS PRIVATE LIMITED,Food & Grocery
Warke and co,Ecommerce & Shopping
Sportex,Ecommerce & Shopping
POTHYS LIFE STYLE,Other
Phagu Resorts Pvt Ltd,Travel
InstaKart Services Pvt,Other
Madurai Meenakshi Silks,Ecommerce & Shopping
DAVIDKANIX,Ecommerce & Shopping
Kardaliwan Seva Sangh,Travel
FEEL GOOD FOODS,Food & Grocery
MM SHOPPINGS,Ecommerce & Shopping
IGL-KAPASHERA,Travel
Adebooking,Entertainment
ARA Frames,Ecommerce & Shopping
MIYAPUR JUBILEE,Travel
PUSHPAK AUTO & GAS STATIOMUMBAI,Travel
AJAY CASSETTE COMPANY,Entertainment
SHRESHTHA,Travel
SRI VENKATESHWARA,Education
LAXMI TYRES AND,Business Activity
DelhiPoliceRecruSBIePa,Government Organization
Active Eight Sports LLP,Ecommerce & Shopping
ENJAY WINES,Food & Grocery
ANIPAT ENTERPRISES PRIVATE LIMITED,Ecommerce & Shopping
MANOJ KUMAR,Ecommerce & Shopping
CAREER POINT EDUTECH LIMITED,Education
Jewel Galli,Ecommerce & Shopping
MSW*EAGLE INFRA INDIA,Business Activity
SUZETTE,Food & Grocery
Ekaja Creations Private Limited,Business Activity
THE BOMBAY,Ecommerce & Shopping
MYSTIC COLLECTIONS,Ecommerce & Shopping
Isha Pashyanti Enterprises,Ecommerce & Shopping
UpCurve Software Consulting Private Limited,Organization
HPCL,Travel
ADITHYA LIQUOR MART,Food & Grocery
GARG DASTAK,Other
XPRESS SUPER MARKET,Food & Grocery
Amedi Greens Pvt. Ltd,Food & Grocery
Indian Abacus Private Limited,Entertainment
CUTIE BLISS,Ecommerce & Shopping
NIRAVAISHU ENT,Travel
MCDONALDS-AHMEDABAD-SAFALAhmedabad,Food & Grocery
SWASTIK Wines,Food & Grocery
HALDIRAM - SPICE MALL,Food & Grocery
SAHEED BHOSALE AUTO WO,Travel
KUNDAN LAL AND SONS,Business Activity
FRIENDS WINE MERCHANTS,Food & Grocery
SPENCERS RETAIL LIMITE,Food & Grocery
RUCHIKA SERVICE STATION,Travel
nuttify,Organization
Vasant Laxmi Fashions LLP,Ecommerce & Shopping
Nakul Gupta,Education
Patra Tours & Travels,Travel
DMART SANGATH,Other
Mint Eventz,Entertainment
Tastefully Loaded LLP,Food & Grocery
PHONEPE WALLET,Other
MSW*MIRAJ ENTERTAINMEN,Entertainment
brands-yuva,Ecommerce & Shopping
P S RATHORE AND CO,Business Activity
JANATA AUTOMOBILES,Business Activity
Practo technologies Private Limited,Health & Fitness
ANJUR SERVICE,Travel
SAPRU CAR CARE CENTRE,Travel
Quadrum Solutions Private Limited,Organization
T R WINES,Food & Grocery
Pisces eservices Pvt Ltd1,Organization
RATTHA HOLDING COMPANY PRCHENNAI,Business Activity
KOTAK MAHINDRA BANK GI,Finance
varsha computar,Ecommerce & Shopping
KRAZYBEE,Finance
SODEXO Dell Internatio,Business Activity
Musical Instruments India,Education
INDANE GAS,Bills
RAMRAJ,Ecommerce & Shopping
Spruce Up,Ecommerce & Shopping
Bookingjini Labs Private Limited,Travel
VIMAL CNG,Travel
DMELLO SERVICE,Travel
Norte Technologies India Private Limited,Business Activity
SAI MOTORS,Business Activity
NAMASKAR SERVICE,Travel
TEJAS WINES,Food & Grocery
APSRTC,Travel
SOUBHAGYA TRADERS,Other
Glitaz,Health & Fitness
Utsa Boutique,Ecommerce & Shopping
Voylla Fashions Private Limited,Ecommerce & Shopping
OMVEDANT,Travel
AMAR SERVICE,Travel
Village Bazar,Ecommerce & Shopping
LAXMI SNACKS,Food & Grocery
JAIN BAKERS,Food & Grocery
Testpress Tech Labs LLP,Education
Cygnet Enterprises Pvt Ltd,Ecommerce & Shopping
KAD PETROL DEPOT,Travel
MUMBAI PETROL SUPPLY CO,Travel
AUTO SERVICE STATION,Travel
Community Matrimony,Organization
RKR WINE PALACE,Food & Grocery
Dreamcann Foods pvt Ltd,Food & Grocery
SHAHEED CHANDRAWAT,Travel
Hotel Yelchiko,Travel
OPULENT INVESTMENT ADVISER PRIVATE LIMITED,Finance
Glymiix Herbal Skin and Health Care,Health & Fitness
LazyPay Repayment,Finance
MINISTRY OF CORP AFFAI,Government Organization
Kraftly,Ecommerce & Shopping
Ekatvam Academy,Education
OCCASIONAL FLOWERS AND GIFTS PRIVATE LIMITED,Legal Services
SRI VENKATESHWARA AGEN,Food & Grocery
JCR FASHION RETAIL PVT,Ecommerce & Shopping
empfrmPayU,Other
Excubator Consulting pvt ltd,Business Activity
GURU PRASAD SERVICES,Travel
Dream11.com,Entertainment
Gapco Healthcare,Health & Fitness
GREEN CHICK CHOP,Food & Grocery
Easy Trip Planners Pvt Ltd,Travel
DMART Nahar,Other
SWAGAT FUELS,Travel
Justickets Pvt Ltd,Entertainment
Travel Studio Online,Travel
ZOMATO Gurgaon,Food & Grocery
KSTDC Transport Division,Travel
NEW HEM MOTORS,Travel
Teamex Retail Limited,Health & Fitness
Awsar Educational Foundation,Education
Kotnis Group,Housing
ASIA 7,Food & Grocery
PARKING,Other
GOSHAMAHAL SERVICE STA,Travel
DILIP SUPER MARKET,Other
11 7 MART,Food & Grocery
ANNADATA MULTI SERVICE,Business Activity
NARAIN SERVICE STATION,Travel
RXDX HEALTHCARE,Health & Fitness
Shree Samast Khadayata Surksha Trust,Social Work
SREE ANNAPOORNA,Food & Grocery
Bookingsmaker com,Travel
BIHAR SCHOOL EXAMINATION BOARD,Education
SHREE MITHAI PRIVATE L,Food & Grocery
Ross Exotic,Food & Grocery
MOHAN NAGAR SERVICE CE,Travel
Devika Hycare Products,Ecommerce & Shopping
MANAK MEWA,Food & Grocery
bigoservicePayTM,Business Activity
GEETHA HOSPITALITY SERV,Housing
The house of SKS,Ecommerce & Shopping
GOOD TIMES LIQUOR,Food & Grocery
FERNS N PETALS PRIVATE LIMITED1,Ecommerce & Shopping
ROYAL RESTAURANT,Food & Grocery
shrofers,Ecommerce & Shopping
The Little Factory,Ecommerce & Shopping
S B RAO AND SONS,Travel
IOCL CITY SERVICE CENT,Travel
Rapido,Travel
POORNNA PRINTING & PUBLISHING HOUSE,Ecommerce & Shopping
INDRA PETRO,Travel
WMM E COMMERCE PRIVATE LIMITED,Ecommerce & Shopping
PAYPAL *BIG TREE EN,Entertainment
Hansikaa Vijay,Entertainment
DB ENTERPRISES,Ecommerce & Shopping
RATNADEEP SUPER MARKET HYDERABAD,Food & Grocery
BAZAR INDIA,Ecommerce & Shopping
RAVI PETROLEUM,Travel
REAL TIME ELECTRONICS,Ecommerce & Shopping
AUSBIZZ SOLUTIONS1,Organization
WELLNESS FOREVER MEDIC,Health & Fitness
ZINKA LOGISTICS SOLUTIONS560103,Business Activity
HAVELI,Food & Grocery
AVIT DIGITAL PVT LTD,Ecommerce & Shopping
THE DELHI HOSPITAL SOC,Health & Fitness
SEASONS VIP PUNE,Other
DESHMUKH PETROLEUM,Travel
TAMIL NADU ELECTRICITY,Bills
ESSAR ELHAAM CORPORATI,Travel
GOOGLE *BNG,Other
Bake-ooh Home Bakery,Food & Grocery
HORIZON SERVICES,Housing
SHARDA PETROLEUM,Travel
Flinto Learning Solution Pvt Ltd,Education
Zoomcar India Pvt Ltd,Travel
LOPERA,Food & Grocery
SATRA ENTERPRISE,Business Activity
PRATHAM WINES,Food & Grocery
SINDHU BAR AND RESTAUR,Food & Grocery
Gift Punch Pvt Ltd,Business Activity
Readiprint Designs,Ecommerce & Shopping
Fashion Now,Ecommerce & Shopping
AAKASH EDUCATIONAL SERVICES PVT LTD,Education
SPAR RMZ,Other
Bharat Matrimony,Organization
GEETHA ENTERPRISES,Housing
CrediMe,Finance
SHINDE PETROLEUM,Travel
OM SWEETS,Food & Grocery
KIWCO,Ecommerce & Shopping
Ostr,Ecommerce & Shopping
Popular Vehicles and Services Pvt Ltd,Travel
CRED,Finance
I PLUS SALES,Ecommerce & Shopping
The Sabha,Education
KANTI SWEETS,Food & Grocery
R K R ENTERPRISES,Food & Grocery
Pareve Enterprises LLP,Food & Grocery
Cholamandalam Investme,Finance
Travelspice Now Pvt Ltd,Travel
TAXIMEN'S SERVICES LTDGOMUMBAI,Travel
Neuu Labs Private Limited,Organization
UNNATI PETROLEUM,Travel
AARYAV GLOBAL STORES,Ecommerce & Shopping
PRANETI ENTERPRISES,Ecommerce & Shopping
SREE LAKSHMI SERVICE S,Bills
PIZZA EXPRESS UNIT,Food & Grocery
HPCL HANUMAN FILLING S,Travel
FLY HIGH,Food & Grocery
CESC LTD,Bills
LALITHA'S FUEL,Travel
RoyzMegaMart,Ecommerce & Shopping
PKV FILLING STATION,Travel
RAZORPAY AIRTEL PAYMEN,Bills
Golden Herbal Store,Health & Fitness
INSTAKART,Other
POLICY BAZAAR INSURANCE WEB AGGREGATOR PVT LTD,Finance
SHREE GODAMA PETROLEUM PRVADODARA,Travel
Guwahati Municipal Corporation,Organization
HR ENERGY,Bills
HALDIRAM -YOUTH PLAZA,Food & Grocery
Moolya Software Testing Pvt Ltd,Organization
HPCL KRUSHNA PETROLEUM,Travel
Pannu Car Rentals Pvt Ltd,Travel
Kadu Farm,Travel
MILAAP,Social Work
JEYACHANDRAN,Ecommerce & Shopping
CoffeeNirvana,Food & Grocery
SREE TIRUMALA SUPER SE,Travel
MilesWeb Internet Services Pvt Ltd,Organization
SANKALP,Housing
TRUEST_STORE,Ecommerce & Shopping
HANUMAN BAR AND RESTAU,Food & Grocery
AUTOMOBILE CENTRE,Business Activity
D K AND CO,Other
Little Bee,Food & Grocery
MGL MSRTC A,Travel
Educational Rating and Assessment Foundation,Education
HOTEL VAISHALI,Food & Grocery
POIZIN WINES,Food & Grocery
Gkamakhya,Ecommerce & Shopping
Tiger Conservation Foundation for CTR,Government Organization
PAYPAL *KOMPARIFY,Other
Infiniti Retail Limited,Ecommerce & Shopping
LULU VALUE MART,Other
SAI SUDHI,Housing
NIELIT,Education
Youth Hostels Association of India Hostel Bookings,Travel
TVS CREDIT SERVICES LT,Finance
Planet Decor,Ecommerce & Shopping
ALAZIZ ALLAPUR FUELLIN,Travel
Migrera Logistics,Travel
Bling N Beads,Ecommerce & Shopping
VISAGE LINES PERSONAL CARE PRIVATE LIMITED,Ecommerce & Shopping
MS SRI SAI ENTERPRISES,Ecommerce & Shopping
PATEL STORE,Food & Grocery
Ram Dairy Farm,Food & Grocery
Makxenia Engineering Resource Pvt. Ltd.,Ecommerce & Shopping
Unlax Consumer Solutions Private Limited,Business Activity
Dera Natung Government College,Education
BHARAT KUMARSERVICE PR,Travel
FASHACK,Entertainment
CITRUSPAY KOTAK,Other
GF TOLL ROAD PVT LTD,Business Activity
Luv4 shop,Ecommerce & Shopping
lb tshirt printing,Ecommerce & Shopping
Out of the Box,Entertainment
Alishwer Creations,Ecommerce & Shopping
POLICYBAZAAR COM,Finance
titlos,Finance
GOOGLE *EA Mobile,Entertainment
ANNA IDLI,Food & Grocery
GOLDEN GLOBE HOTELS PVT LPANJIM,Travel
Aditya Birla Health Insurance Company Limited,Finance
AUTOLINES,Ecommerce & Shopping
ePayLater,Finance
DELHI TOURISM AND TRAN,Travel
Mayor Foundation,Government Organization
SANGOI SERVICE STATION,Travel
VIVEK RAM,Ecommerce & Shopping
IMM HEALTH SURCHAR,Other
Pan India Paryatan Pvt LtMUMBAI,Entertainment
SHREE SARVODAYA,Travel
RetailCCA,Finance
FAVOURITE AUTO SERVICE,Travel
Citrusp*irctc.co,Travel
BPCL SRI SAKTHI AGENCY,Travel
bercshire,Ecommerce & Shopping
ROSHAN AUTO SERVICES,Travel
IMPERIAL PETROLEUM,Travel
healthzone,Food & Grocery
GREEN ENTERPRISES,Business Activity
SUPERVALUE HOLIDAYS & FOREX PRIVATE LIMITED,Travel
SREE KODANDARAMA SERVI,Travel
KFC SAPPHIRE JANAKPURI,Food & Grocery
vastra collections,Ecommerce & Shopping
Citilites,Food & Grocery
HPCL COMCO,Travel
Manakula Vinayagar Sugars Private Limited,Food & Grocery
wiztal Infotech,Ecommerce & Shopping
Nevedha Collections,Ecommerce & Shopping
EKVIRA AUTOMOBILE,Business Activity
WWW ZEE5 COM,Entertainment
GTPL Bdband Pvt Ltd,Bills
Bhaghya Babu,Entertainment
A1 Chikki,Food & Grocery
91 Ultimate Frisbee LLP,Ecommerce & Shopping
JAIPUR GOLDEN,Business Activity
KPS BOOKALLADS PRIVATE LIMITED,Business Activity
ONLINE CAKE AND GIFT INDIA PVT LTD,Food & Grocery
Praveen Arora,Bills
GAUTAM FILLING STATION,Travel
Vodafone Idea Limited,Bills
FLIPKART PAYMENTS,Other
AMIT KUMAR,Entertainment
NOBLE CHEMIST,Health & Fitness
KAKAL KAI RUCHI,Food & Grocery
Mosaic Media Ventures Private Limited,Entertainment
KUNDAN LAL SERVICE STA,Travel
PATANJALI AYURVED LIMITED,Ecommerce & Shopping
PLEXUS,Health & Fitness
PAYPAL *CONFIRMTKT,Travel
NUSSERWAN PETROL SERV,Travel
Ayush,Health & Fitness
INNOVATIVE RETAIL CONCEPTBANGALORE,Food & Grocery
Just Jay,Ecommerce & Shopping
V Excel Educational Trust,Education
tatasky TPSL,Bills
Pimpri Chinchwad Municipal Corporation,Government Organization
Indraprastha Gas Limit,Bills
TAXIMENS SERVICES LIMITEDMUMBAI,Travel
SREE LEATHERS,Ecommerce & Shopping
Marudham Enterprises,Food & Grocery
Label Corp Private Limited,Ecommerce & Shopping
VILLAGE SUPER MARKET,Other
International Society For Krishna Consciouness,Organization
apex world,Finance
N DALAL Retail,Ecommerce & Shopping
Zaakpay-Dataevolve Sol,Other
S S LIQUORS,Food & Grocery
Sri Sharada Enterprise,Travel
Tritled,Ecommerce & Shopping
CALICUT PARAGON,Food & Grocery
HPCL SRI KRISHNA AUTO,Travel
Gautam Gajanan Pai,Entertainment
WISDOM PURPLE VISHWAKARMA EDUCATIONAL LLP,Education
Placewell Jobs Private Limited,Organization
MY BAKE,Food & Grocery
shubham shopi,Ecommerce & Shopping
Digiware Enterprise,Ecommerce & Shopping
JANKI NATH FILLING STA,Travel
CBTL,Food & Grocery
SHIV PETROLEUM,Travel
EAZYPAY ICICI BANK LTD,Other
Priyadarshini Kacker,Entertainment
FA Gifts Pvt Ltd,Business Activity
RAJAN AUTO CARE,Travel
Bharti Airtel Gurgaon,Bills
GAYATRI SEVA,Business Activity
ADLABS IMAGICA,Entertainment
E Eighteen Com Limited,Organization
SHREE KRISHNA ENTERPRISES,Ecommerce & Shopping
nipsession nutrition,Food & Grocery
TACO BELL,Food & Grocery
H AND M HENNES AND MAURITBANGALORE,Ecommerce & Shopping
Swivt Development International Private Limited,Organization
CHANDIGARH PETROWAYS,Travel
AZAD GROUP HOTELS,Food & Grocery
barapara bijoyee sangha,Social Work
Carzonrent India Pvt Ltd,Travel
T V SUNDRAM IYENGAR,Business Activity
Stranz Collections,Ecommerce & Shopping
KAYA SKIN CLINIC,Health & Fitness
Little Storks,Ecommerce & Shopping
NATIONAL SERVICE STATI,Housing
Patronus Fx,Business Activity
cafe dreams,Food & Grocery
SUD TRADERS,Travel
Nahar Crafts,Ecommerce & Shopping
TEX MART,Ecommerce & Shopping
Abis Exports lndia private Limited New,Ecommerce & Shopping
HPCL DINESH FILLING ST,Travel
HPCL HABIB SERVICE STA,Travel
SAIRAM ENTRPRISES,Other
RISHI TRADECOM,Other
KUBER HEALTHFOOD,Business Activity
QuikrX,Ecommerce & Shopping
GOOGLE *Matching Apps,Other
MS PAROMITA BANERJEE,Ecommerce & Shopping
PASHUDHAN VIKAS MISSION,Business Activity
KRISHNA SUPER,Food & Grocery
Sanborn photography,Entertainment
delhitrafficplSBIePay,Other
Preco Smart Solutions,Organization
DISH TV INDIA LIMITED,Bills
COOL N FRESH,Food & Grocery
TSSPDCL,Bills
Social Beat Digital Marketing LLP,Entertainment
Controller of Examinations,Education
SBX FORCE,Health & Fitness
DRB SPIRITS,Food & Grocery
Wildflower Co,Ecommerce & Shopping
DMART SARTHANA,Other
Amity Centre for E Learning Ritnand Balved Education Founda,Education
KEYA KAINOOSH,Food & Grocery
IRCTC IPAY,Travel
SRISAI BALAJI ENT,Health & Fitness
LUCKY RESTAURANT,Food & Grocery
POWER LOOK,Ecommerce & Shopping
Bangalore Water Supply and Sewerage Board,Bills
MEHFIL BIRYANI DARBAR,Food & Grocery
Avishya Trading Pvt Ltd,Ecommerce & Shopping
Feegenie Education,Education
DR FUELS,Travel
J K ENTERPRISES,Other
VEERA PETROLEUM,Travel
Dream11 Fantasy Pvt Lt,Entertainment
N LAXAMAIAH AND BROTHE,Travel
JIVA PUBLIC SCHOOL,Education
DMART K ONE,Other
Sree Sarada Vidyalaya,Education
GANESH CARRIER,Travel
BATA INDIA,Ecommerce & Shopping
Moonfrog Labs Private Limited,Entertainment
HINDUSTAN PETROLEUM,Bills
Pather Pane,Entertainment
Trail Blazer Tours India Pvt Ltd,Travel
MAHARANI GAYATRI GIRLS PUBLIC SCHOOL SOCIETY JAIPUR,Education
Mango’s boutique,Ecommerce & Shopping
IDFC First Bank Limite,Other
Backpackers Hospitality Pvt Ltd,Travel
Shreem datatech solutions private limited,Finance
SPAR SHANTINIKETAN,Other
KARACHI BAKERY BANJARA,Food & Grocery
SRI VARADARAJA SERVICE,Travel
ROHIT WINES,Food & Grocery
HPCL KVS SERVICE STATI,Travel
Sinina,Ecommerce & Shopping
Lotus Life Resources,Entertainment
SRI GANAPATHY AGENCIES,Health & Fitness
BALWAN SERVICE STATION,Travel
P PANCHRATNA SERVICE S,Travel
Ola Zipcash,Travel
MSW*JUBILANT FOODWORKS,Food & Grocery
Serville technologies Pvt Ltd,Organization
UtilityAtom,Business Activity
MEHAK E PUNJAB,Food & Grocery
BrightScorpion,Ecommerce & Shopping
Protium Pharma,Health & Fitness
Delhi Jal Board YES Bank PG,Bills
NAME-CHEAP COM,Business Activity
Emergent Payment & Technologies India Private Limited,Finance
vodafonePayU,Bills
CHANDRIKA SRINIVAS,Travel
shree keshar bhawani book sgorw,Ecommerce & Shopping
BALWADKAR AUTO SERVICE,Travel
POORNA FUEL STATION,Travel
RATIONAL HANDLOOM CO P,Other
Lorange Design and Retail Private Limited,Ecommerce & Shopping
Best Engineering Aids and Consultancies Pvt Ltd,Organization
JAWED HABIB,Ecommerce & Shopping
DMART Vasai,Other
Indian Railways Catering 100001,Travel
INDIA NURSERY AND SHOP,Ecommerce & Shopping
HINDUSTAN PETROLEUM CO,Bills
NDDB Foundation for Nutrition,Food & Grocery
KFC SEAWOODS,Food & Grocery
Sachar Gaming TPSL,Entertainment
DHFL GENERAL INSURANCE,Finance
PAYTM,Other
Wsm Gzb,Other
SAI FUEL STATION,Travel
Collection House,Finance
ADHOC AADARSH PETROLEU,Travel
Make My Trip India PVT,Travel
UFONY SERVICES PRVT LTD,Organization
GANGA PETRO,Travel
PUSHPAK AUTO AND GAS S,Travel
MORYA PETROLEUM,Travel
Blacknwhitenagaland,Entertainment
ZARA INDIA-6474,Ecommerce & Shopping
SHREE MATAVAISHNO DEVI,Other
Lal Ghat Guest House,Travel
Nerthi designer clothing,Ecommerce & Shopping
KEERTHI SERVICE,Travel
Etsy Inc Seller Fees,Other
Kgn International,Ecommerce & Shopping
Zairo International private Limited,Organization
SAI SANSKRITI,Housing
miPayU,Ecommerce & Shopping
Chembur Trombay Education Society,Education
Chef Bakers,Food & Grocery
FABINDIA,Ecommerce & Shopping
RELAXO FOOTWEARS,Ecommerce & Shopping
Dream11 Mumbai,Entertainment
PASFAR_TECH_PVT_LID,Other
LG Electronics India Pvt Ltd,Ecommerce & Shopping
HPCL G NAIK AND CO,Travel
Delhi Golf Club ltd,Entertainment
NATH SERVICE CENTRE GACHHYDERABAD,Travel
QUIRK BOX,Ecommerce & Shopping
PATIL PETROLIEUM,Travel
R S WINES,Food & Grocery
GROFERS INDIA PRIVATE,Other
crimz,Food & Grocery
PARADISE FOOD COURT,Food & Grocery
VKSD STUDIO,Ecommerce & Shopping
Naval Maritime Academy,Education
KAPOOR SERVICE STATION,Travel
Freshtohome,Food & Grocery
AUTOMOBILE RESORT,Travel
SADGURU FILLING STATIO,Travel
raheja,Housing
Miniclassy,Ecommerce & Shopping
Nutshellz,Ecommerce & Shopping
Schlaf baby,Ecommerce & Shopping
LENSKART.COM-IBIBO,Ecommerce & Shopping
L AND T METRO RAIL,Travel
Upgrad Education Private Ltd,Education
INDIAN COFFEE WORKERS,Business Activity
SURAT GARAGE CO,Housing
Just Brand,Ecommerce & Shopping
Anka designs LLP,Ecommerce & Shopping
WatchOut Wearables,Ecommerce & Shopping
northeast collections,Ecommerce & Shopping
KOVAI PAZHAMUDIR NILAY,Food & Grocery
Hero FinCorp Limited,Finance
Avni kreative Krafts,Ecommerce & Shopping
SINO INDIA ETAIL PRIVA,Business Activity
Paperberry Studio,Ecommerce & Shopping
WWW BIGBASKET COM,Food & Grocery
HOTEL SUDARSHAN,Travel
Trnatva,Ecommerce & Shopping
NEWTONS ARCADE GOA 403515BARDEZ GOA,Other
POSTALDEPT,Government Organization
3S Touch Service Soluti,Housing
Madurai Gopu Iyengars fast food cafe,Food & Grocery
One Glance Software Services Pvt ltd,Ecommerce & Shopping
BHAGYASHRI WINES,Food & Grocery
COLORS RESTAURANT,Food & Grocery
EKAYARS BHARATH PETROL,Travel
Pramerica Life Insurance Limited,Finance
CHULHA CHAUKI DA DHABA,Food & Grocery
MULTIPLE CONTRADE INTE,Business Activity
MSW*SELECTION CENTRE S,Government Organization
Ammaji Publications,Ecommerce & Shopping
Acko General Insurance,Finance
PAYPAL *MAKEMYTRIPI,Travel
DEEP FUEL CENTRE,Travel
Liana Healthcare Pvt Ltd,Health & Fitness
epayecourtsSBIePay,Government Organization
DORABJEE AND CO PVT LT,Other
VISHWENDRA VERMA,Other
SHREE TRADING COMPANY,Business Activity
BIKANER SWEETS,Food & Grocery
PRINTO DOCUMENT SERVIC,Other
SVD SPIRITS GANDIPET,Food & Grocery
GUNA ORCHIDS,Ecommerce & Shopping
MAYUR NAIK,Education
Chaurasia Info Media,Entertainment
Epitome Enterprises,Ecommerce & Shopping
ACASA HOSPITALITY LLP,Travel
WINKROBO,Ecommerce & Shopping
Aristotle,Entertainment
BROOKS MAGAZINES,Entertainment
NATURES,Ecommerce & Shopping
VEERARAGAVA ENTERPRISE,Travel
EVIBE TECHNOLOGIES PRIVATE LIMITED,Entertainment
PAY*Sri Sai Traders,Food & Grocery
WWW KOTAKGENERALINSURA,Finance
sridePayTM,Travel
PUSHPANJALI,Entertainment
DMART SHIVALIK,Other
Milestone Shoes Private Limited,Ecommerce & Shopping
Directorate of Treasur,Government Organization
HPCL PULLA REDDY FILLI,Travel
Arunodaya Service StationBANGALORE,Travel
Favourable shirts,Ecommerce & Shopping
RAJ ENTERPRISES,Ecommerce & Shopping
SHUBHAM RESTAURANT,Food & Grocery
ONLINE WOMEN CLOTHING,Ecommerce & Shopping
Combine Sales Promotion,Ecommerce & Shopping
MPGOVTNEWOTHDRCARD,Government Organization
Ahuja electronics,Ecommerce & Shopping
VAISHNAVI FUELS,Travel
Bhagini Palace,Food & Grocery
BIGTREE ENTERTAINMENT PRIVATE LIMITED,Entertainment
Sunanda Farms,Food & Grocery
DecaBEAM,Ecommerce & Shopping
OSIA,Other
Beeslove,Ecommerce & Shopping
IRL Logistics Limited,Travel
Cocoon Barter Global Private Limited,Ecommerce & Shopping
DESAI AUTO SERVICE,Travel
MOTOR FUELS,Travel
MIAMI SUPER MARKET,Food & Grocery
Molly Impex,Ecommerce & Shopping
Universal Filling StationBANGALORE,Travel
AAPKAPAINTER SOLUTIONS PRIVATE LIMITED,Bills
PAM FILLING STATION,Travel
SHANTAI SERVICE CENTRE,Travel
RAVI,Food & Grocery
ZestMoney,Finance
IGL CHILLA 1,Travel
JANATA SERVICE STATION,Travel
GKB HI TECH LENSES PRIVATE LIMITED,Ecommerce & Shopping
ZED LIFESTYLE PRIVATE LIMITED,Ecommerce & Shopping
Digital E Life Pvt Ltd,Entertainment
IGL-MADANPUR KHADER II,Travel
BPCL PATEL AUTOMOBILES,Travel
SARAVANA,Ecommerce & Shopping
Prayosha food Services Private Limited,Food & Grocery
Giftcart Ecommerce Private Limited,Ecommerce & Shopping
QIKWELL TECHNOLOGIES INDIA PRIVATE LIMITED,Organization
U and V works,Ecommerce & Shopping
RP Telebuy Sky Shop Pvt Ltd New,Ecommerce & Shopping
JANTA FILLING,Travel
mticket,Entertainment
ANAND SUPER,Food & Grocery
HPCL SUMAN PETROLEUM,Travel
GOOGLE *Octro Inc,Entertainment
Mumbai Metro,Travel
YOUSUFGUDA SERVICE STA,Travel
SHILTON HOSPITALITY LL,Food & Grocery
DELHIVERY,Business Activity
AUTO LINES,Ecommerce & Shopping
zara india-11725,Ecommerce & Shopping
BAHAR CAFE,Food & Grocery
Essence of Malnad,Food & Grocery
9Xfit,Health & Fitness
CONTINENTAL HOSPITALS,Health & Fitness
Best Stock Analysis,Organization
NAMRATA,Ecommerce & Shopping
Cisco Networking MSRIT,Organization
Spartan ProGear Co,Travel
Dish TV India Ltd,Bills
Lynks Logistics limited,Travel
AMAR JYOTHI SERVICE,Travel
HP AUTO CARE,Travel
ZIVAME COM,Ecommerce & Shopping
Express Hotels Pvt Ltd,Travel
